id,department,link,duty,pno,keywords
17,학사종합지원센터,https://haksa.hufs.ac.kr/,"휴/복학, 전과, 재입학, 졸업",0313304027,"졸업시험, 졸업, 복학신청, 휴학신청, 재입학, 군복학"
18,학사종합지원센터,https://haksa.hufs.ac.kr/,"이중전공, 부전공, 학점인정",0313304026,"이중전공, 부전공, 학점인정, 이수구분 변경, 이수구분 변경 신청서, 해외학점 인정"
19,학사종합지원센터,https://haksa.hufs.ac.kr/,"계절학기, 성적평가, 전공배정",0313304086,"성적평가, 계절학기, 계절학기 학점교류, 전공배정, 모듈 배정, 계절학기 학점교류"
20,학사종합지원센터,https://haksa.hufs.ac.kr/,교직,0313304953,"교직, 교직관리"
21,학사종합지원센터,https://haksa.hufs.ac.kr/,인문대학,0313304077,"인문대, 인문대학"
22,학사종합지원센터,https://haksa.hufs.ac.kr/,경상대학,0313304457,"경상대, 경상대학"
23,학사종합지원센터,https://haksa.hufs.ac.kr/,통번역대학,0313304077,"통번역대, 통번역대학"
24,학사종합지원센터,https://haksa.hufs.ac.kr/,동유럽대학,0313304457,"동유럽, 동유럽대학, 동유럽대"
25,학사종합지원센터,https://haksa.hufs.ac.kr/,국제지역대학,0313304457,"국지대, 국제지역대학"
26,학사종합지원센터,https://haksa.hufs.ac.kr/,자연과학대학,0313304073,"자과대, 자연과학대, 자연과학대학"
27,학사종합지원센터,https://haksa.hufs.ac.kr/,공과대학,0313304073,"공대, 공과대, 공과대학"
28,학사종합지원센터,https://haksa.hufs.ac.kr/,융합인재대학,0313304077,"융인, 융인대 "
29,학사종합지원센터,https://haksa.hufs.ac.kr/,Culture&Technology융합대학,0313304457,"Culture&Technology융합대학, Culture&Technology융합대"
30,학사종합지원센터,https://haksa.hufs.ac.kr/,AI 융합대학,0313304953,"코딩존, SW, 컴퓨팅사고, 컴퓨터프로그래밍"
31,학사종합지원센터,https://haksa.hufs.ac.kr/,바이오메디컬공학부,0313304073,"바메공, 바이오메디컬, 바이오메디컬공학"
32,학사종합지원센터,https://haksa.hufs.ac.kr/,글로벌자유전공학부,0313304953,"글로벌자유전공, 글로벌자유전공학부"
33,학사종합지원센터,https://haksa.hufs.ac.kr/,기후변화융합학부,0313304953,"기후변화융합학부, 기후변화융합"
34,학사종합지원센터,https://haksa.hufs.ac.kr/,미네르바교양대학,0313304063,"미네르바교양, 미네르바교양대학교"
35,원스톱서비스센터,https://onestop.hufs.ac.kr/onestop/index.do,원스톱서비스팀장,0313304635,"스터디룸, 스터디룸예약, 강의실대실, 강의실대관, 시설대실, 좌석예약, 열람실"
36,원스톱서비스센터,https://onestop.hufs.ac.kr/onestop/index.do,원스톱서비스센터,0313304634,"스터디룸, 스터디룸예약, 강의실대실, 강의실대관, 시설대실, 좌석예약, 열람실"
37,원스톱서비스센터,https://onestop.hufs.ac.kr/onestop/index.do,학생불편신고,0313304000,"불편, 이상, 불편 문의"
38,외국어교육센터,https://flec.hufs.ac.kr/,외국어교육센터,0313304030,"교환학생, 칠쁠일, 7+1, 토플, 토익, TOFEL, TOEIC, 외국어, 잉존, 잉글리시존, EngilishZone, R-EIP, EnglishClinic"
39,외국어교육센터,https://flec.hufs.ac.kr/,외국어교육센터,0313304313,"교환학생, 칠쁠일, 7+1, 토플, 토익, TOFEL, TOEIC, 외국어, 잉존, 잉글리시존, EngilishZone, R-EIP, EnglishClinic"
40,교육지원팀,https://builder.hufs.ac.kr/user/mest/,교육지원팀장,0313304507,"오디오, 비디오, CD, DVD, 교재, 필름, 콘텐츠, UCC, ucc, 스튜디오, 영상 제작"
41,교육지원팀,https://builder.hufs.ac.kr/user/mest/,자료관리,0313304140,"오디오, 비디오, CD, DVD, 교재, 필름"
42,교육지원팀,https://builder.hufs.ac.kr/user/mest/,컨텐츠제작,0313304494,"콘텐츠, UCC, ucc, 스튜디오, 영상 제작"
43,교육지원팀,https://builder.hufs.ac.kr/user/mest/,제작/대출,0313304517,대출
44,교육지원팀,https://builder.hufs.ac.kr/user/mest/,자료대출실,0313304139,대출
45,총괄지원팀,https://builder.hufs.ac.kr/user/chongmoo/,총괄지원팀장,0313304005,
46,총괄지원팀,https://builder.hufs.ac.kr/user/chongmoo/,교통안내,0313304011,"버스, 통학, 통학버스, 빨간버스, 빨버, 빵차, 셔틀"
47,총괄지원팀,https://builder.hufs.ac.kr/user/chongmoo/,"구매, 계약",0313304007,
48,총괄지원팀,https://builder.hufs.ac.kr/user/chongmoo/,이공계 기자재구매,0313304275,기자재
49,총괄지원팀,https://builder.hufs.ac.kr/user/chongmoo/,관재,0313304049,
50,총괄지원팀,https://builder.hufs.ac.kr/user/chongmoo/,우편실,`0313304395,"우편, 택배, 편지, 소포, 등기"
51,총괄지원팀,https://builder.hufs.ac.kr/user/chongmoo/,우편취급국,0313304198,"우편, 택배, 편지, 소포, 등기"
52,총괄지원팀,https://builder.hufs.ac.kr/user/chongmoo/,기사대기실,0313304181,
53,시설관리팀,https://builder.hufs.ac.kr/user/fmt/,시설관리팀장,0313304008,"교내 냉난방기, 냉난방기, 교내 에어컨, 교내 난방, 냉난방기 유지, 기계설비 시설관리, 기계설비,"
54,시설관리팀,https://builder.hufs.ac.kr/user/fmt/,행사관리,0313304009,"행사, 행사시설, 촬영"
55,시설관리팀,https://builder.hufs.ac.kr/user/fmt/,시설관리,0313304010,"콘센트, 행사시설, 시설지원, 냉난방기, 형광등"
56,시설관리팀,https://builder.hufs.ac.kr/user/fmt/,시설관리,0313304012,"콘센트, 행사시설, 시설지원, 냉난방기, 형광등"
57,시설관리팀,https://builder.hufs.ac.kr/user/fmt/,시설관리,0313304182,"콘센트, 행사시설, 시설지원, 냉난방기, 형광등"
58,시설관리팀,https://builder.hufs.ac.kr/user/fmt/,본관기관실,0313304186,기관
59,시설관리팀,https://builder.hufs.ac.kr/user/fmt/,폐수처리장,0313304014,폐수
60,안전보건관리팀,http://hufscit.com/sites/hufssafety/index..do,안전보건관리팀장,0313304831,"안전, 보건, 위험, 사고, 예방, 안전교육, 검사"
61,안전보건관리팀,http://hufscit.com/sites/hufssafety/index..do,안전/보건업무 담당,0313304832,"안전, 보건, 위험, 사고, 예방, 안전교육, 검사"
62,정보지원처,https://ois.hufs.ac.kr/,정보통신팀장,0313304108,"이메일, 웹메일, 메일, 연구, 지원, 성과, 통신, 네트워크, 장비, 인프라, 서비스, 유지보수"
63,정보지원처,https://ois.hufs.ac.kr/,웹메일/연구/교원업적,0313304515,"이메일, 웹메일, 메일, 연구, 지원, 성과"
64,정보지원처,https://ois.hufs.ac.kr/,통신,0313304017,"통신, 네트워크, 장비, 인프라, 서비스, 유지보수"
65,정보지원처,https://ois.hufs.ac.kr/,디지털서비스 팀장,0313304134,"전산기기 관리, 강의실 기자재 관리, 전산기기, 강의실 기자재, CCTV, CCTV 관리, 행사기자재, 행사기자재 지원, FBS간사, 디지털서비스팀"
66,정보지원처,https://ois.hufs.ac.kr/,서비스팀,0313304135,"전산기기 관리, 강의실 기자재 관리, 전산기기, 강의실 기자재, CCTV, CCTV 관리, 행사기자재, 행사기자재 지원, FBS간사, 디지털서비스팀"
67,정보지원처,https://ois.hufs.ac.kr/,서비스팀,0313304136,"전산기기 관리, 강의실 기자재 관리, 전산기기, 강의실 기자재, CCTV, CCTV 관리, 행사기자재, 행사기자재 지원, FBS간사, 디지털서비스팀"
68,정보지원처,https://ois.hufs.ac.kr/,서비스팀,0313304137,"전산기기 관리, 강의실 기자재 관리, 전산기기, 강의실 기자재, CCTV, CCTV 관리, 행사기자재, 행사기자재 지원, FBS간사, 디지털서비스팀"
69,정보지원처,https://ois.hufs.ac.kr/,학생전산상담,0313304596,"상담, 전산, 비대면상담"
70,정보지원처,https://ois.hufs.ac.kr/,PC A/S,0313304618,"수리, 하드웨어, 소프트웨어, PC, 성능"
71,정보지원처,https://ois.hufs.ac.kr/,소극장(후생관),0313304834,"소극장, 공연, 이벤트, 좌석배치, 장비대여, 조명, 이벤트, 세미나"
72,정보지원처,https://ois.hufs.ac.kr/,자연대 강당,0313304899,"강당, 강당예약, 행사, 좌석, 장비대여, 음향, 조명"
73,입학연구팀,https://adms.hufs.ac.kr/index.do,입학연구팀장,0313304871,"입학, 입결, 입학 프로그램"
